"game_id","week","home_team","away_team","temp","wind","weather","has_weather","is_dome","is_cold","is_hot","is_windy","weather_impact_score"
"2025_01_ARI_NO",1,"NO","ARI",NA,NA,"Sunny Temp: 83° F, Humidity: 72%, Wind: NE 9 mph",TRUE,FALSE,FALSE,FALSE,FALSE,0
"2025_01_BAL_BUF",1,"BUF","BAL",58,8,"Partly cloudy Temp: 58° F, Humidity: 61%, Wind: SW 8 mph",TRUE,FALSE,FALSE,FALSE,FALSE,0
"2025_01_CAR_JAX",1,"JAX","CAR",85,3,"Temp: 85° F, Humidity: 71%, Wind: SW 3 mph",TRUE,FALSE,FALSE,FALSE,FALSE,0
"2025_01_CIN_CLE",1,"CLE","CIN",63,10,"Sunny Temp: 63° F, Humidity: 49%, Wind: NW 10 mph",TRUE,FALSE,FALSE,FALSE,FALSE,0
"2025_01_DAL_PHI",1,"PHI","DAL",75,11,"Rain Temp: 75° F, Humidity: 66%, Wind: S 11 mph",TRUE,FALSE,FALSE,FALSE,FALSE,0
"2025_01_DET_GB",1,"GB","DET",60,5,"Cloudy Temp: 60° F, Humidity: 76%, Wind: NW 5 mph",TRUE,FALSE,FALSE,FALSE,FALSE,0
"2025_01_HOU_LA",1,"LA","HOU",NA,NA,"Sunny Temp: 83° F, Humidity: 51%, Wind: SW 9 mph",TRUE,FALSE,FALSE,FALSE,FALSE,0
"2025_01_KC_LAC",1,"LAC","KC",NA,NA,"Temp: 62° F, Humidity: 80%, Wind: SE 7 mph",TRUE,FALSE,FALSE,FALSE,FALSE,0
"2025_01_LV_NE",1,"NE","LV",62,4,"Rain Temp: 64° F, Humidity: 86%, Wind: NE 4 mph",TRUE,FALSE,FALSE,FALSE,FALSE,0
"2025_01_MIA_IND",1,"IND","MIA",NA,NA,"Sunny Temp: 64° F, Humidity: 38%, Wind: NW 3 mph",TRUE,FALSE,FALSE,FALSE,FALSE,0
"2025_01_MIN_CHI",1,"CHI","MIN",68,6,"Clear Temp: 68° F, Humidity: 38%, Wind: SE 6 mph",TRUE,FALSE,FALSE,FALSE,FALSE,0
"2025_01_NYG_WAS",1,"WAS","NYG",68,5,"Temp: 68° F, Humidity: 68%, Wind: NW 5 mph",TRUE,FALSE,FALSE,FALSE,FALSE,0
"2025_01_PIT_NYJ",1,"NYJ","PIT",67,3,"Cloudy with more rain possible Temp: 67° F, Humidity: 79%, Wind: W 3 mph",TRUE,FALSE,FALSE,FALSE,FALSE,0
"2025_01_SF_SEA",1,"SEA","SF",67,6,"Cloudy Temp: 67° F, Humidity: 83%, Wind: S 6 mph",TRUE,FALSE,FALSE,FALSE,FALSE,0
"2025_01_TB_ATL",1,"ATL","TB",NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,0
"2025_01_TEN_DEN",1,"DEN","TEN",84,6,"Mostly Sunny Temp: 84° F, Humidity: 24%, Wind: NE 6 mph",TRUE,FALSE,FALSE,FALSE,FALSE,0
"2025_02_ATL_MIN",2,"MIN","ATL",NA,NA,"N/A Indoors Temp: 82° F, Humidity: 69%, Wind: SE 8 mph",TRUE,FALSE,FALSE,FALSE,FALSE,0
"2025_02_BUF_NYJ",2,"NYJ","BUF",80,3,"Beautiful. 80 and Sunny Temp: 80° F, Humidity: 49%, Wind: NE 3 mph",TRUE,FALSE,FALSE,FALSE,FALSE,0
"2025_02_CAR_ARI",2,"ARI","CAR",NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,0
"2025_02_CHI_DET",2,"DET","CHI",NA,NA,"Temp: 68° F, Humidity: 70%, Wind: mph",TRUE,FALSE,FALSE,FALSE,FALSE,0
"2025_02_CLE_BAL",2,"BAL","CLE",82,3,"Clear Temp: 82° F, Humidity: 49%, Wind: SE 3 mph",TRUE,FALSE,FALSE,FALSE,FALSE,0
"2025_02_DEN_IND",2,"IND","DEN",NA,NA,"Sunny Temp: 85° F, Humidity: 46%, Wind: SE 2 mph",TRUE,FALSE,FALSE,FALSE,FALSE,0
"2025_02_JAX_CIN",2,"CIN","JAX",85,3,"Partly Sunny Temp: 84° F, Humidity: 49%, Wind: SE 6 mph",TRUE,FALSE,FALSE,FALSE,FALSE,0
"2025_02_LAC_LV",2,"LV","LAC",NA,NA,"Sunny Temp: 93° F, Humidity: 12%, Wind: SE 7 mph",TRUE,FALSE,FALSE,FALSE,FALSE,0
"2025_02_LA_TEN",2,"TEN","LA",83,3,"Cloudy Temp: 83° F, Humidity: 46%, Wind: S 3 mph",TRUE,FALSE,FALSE,FALSE,FALSE,0
"2025_02_NE_MIA",2,"MIA","NE",89,4,"Partly Cloudy Temp: 89° F, Humidity: 56%, Wind: NW 4 mph",TRUE,FALSE,FALSE,TRUE,FALSE,1
"2025_02_NYG_DAL",2,"DAL","NYG",NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,0
"2025_02_PHI_KC",2,"KC","PHI",88,12,"Temp: 88° F, Humidity: 46%, Wind: S 12 mph",TRUE,FALSE,FALSE,TRUE,FALSE,1
"2025_02_SEA_PIT",2,"PIT","SEA",79,5,"Sunny Temp: 79° F, Humidity: 46%, Wind: NE 5 mph",TRUE,FALSE,FALSE,FALSE,FALSE,0
"2025_02_SF_NO",2,"NO","SF",NA,NA,"Partly Cloudy Temp: 87° F, Humidity: 55%, Wind: N 5 mph",TRUE,FALSE,FALSE,FALSE,FALSE,0
"2025_02_TB_HOU",2,"HOU","TB",NA,NA,"Sunny Temp: 87° F, Humidity: 45%, Wind: SE 4 mph",TRUE,FALSE,FALSE,FALSE,FALSE,0
"2025_02_WAS_GB",2,"GB","WAS",65,7,"Cloudy Temp: 64° F, Humidity: 78%, Wind: NE 7 mph",TRUE,FALSE,FALSE,FALSE,FALSE,0
"2025_03_ARI_SF",3,"SF","ARI",72,7,"Sunny Temp: 72° F, Humidity: 65%, Wind: SE 7 mph",TRUE,FALSE,FALSE,FALSE,FALSE,0
"2025_03_ATL_CAR",3,"CAR","ATL",83,5,"Sunny Temp: 84° F, Humidity: 48%, Wind: NE 6 mph",TRUE,FALSE,FALSE,FALSE,FALSE,0
"2025_03_CIN_MIN",3,"MIN","CIN",NA,NA,"N/A Indoors Temp: 70° F, Humidity: 74%, Wind: SW 4 mph",TRUE,FALSE,FALSE,FALSE,FALSE,0
"2025_03_DAL_CHI",3,"CHI","DAL",82,4,"Mostly Sunny Temp: 82° F, Humidity: 48%, Wind: SW 4 mph",TRUE,FALSE,FALSE,FALSE,FALSE,0
"2025_03_DEN_LAC",3,"LAC","DEN",NA,NA,"Cloudy Temp: 76° F, Humidity: 70%, Wind: SE 8 mph",TRUE,FALSE,FALSE,FALSE,FALSE,0
"2025_03_DET_BAL",3,"BAL","DET",74,7,"Clear Temp: 73° F, Humidity: 67%, Wind: SE 4 mph",TRUE,FALSE,FALSE,FALSE,FALSE,0
"2025_03_GB_CLE",3,"CLE","GB",79,10,"Cloudy Temp: 79° F, Humidity: 53%, Wind: S 10 mph",TRUE,FALSE,FALSE,FALSE,FALSE,0
"2025_03_HOU_JAX",3,"JAX","HOU",85,11,"Temp: 85° F, Humidity: 76%, Wind: NE 12 mph",TRUE,FALSE,FALSE,FALSE,FALSE,0
"2025_03_IND_TEN",3,"TEN","IND",84,8,"Cloudy Temp: 84° F, Humidity: 49%, Wind: SW 7 mph",TRUE,FALSE,FALSE,FALSE,FALSE,0
"2025_03_KC_NYG",3,"NYG","KC",65,5,"Fair Temp: 65° F, Humidity: 56%, Wind: S 5 mph",TRUE,FALSE,FALSE,FALSE,FALSE,0
"2025_03_LA_PHI",3,"PHI","LA",73,9,"Sunny Temp: 73° F, Humidity: 47%, Wind: E 9 mph",TRUE,FALSE,FALSE,FALSE,FALSE,0
"2025_03_LV_WAS",3,"WAS","LV",72,6,"Temp: 72° F, Humidity: 72%, Wind: E 6 mph",TRUE,FALSE,FALSE,FALSE,FALSE,0
"2025_03_MIA_BUF",3,"BUF","MIA",68,7,"Partly cloudy Temp: 68° F, Humidity: 71%, Wind: SW 7 mph",TRUE,FALSE,FALSE,FALSE,FALSE,0
"2025_03_NO_SEA",3,"SEA","NO",63,3,"Cloudy Temp: 63° F, Humidity: 84%, Wind: SE 3 mph",TRUE,FALSE,FALSE,FALSE,FALSE,0
"2025_03_NYJ_TB",3,"TB","NYJ",88,5,"Cloudy Temp: 88° F, Humidity: 55%, Wind: NE 5 mph",TRUE,FALSE,FALSE,TRUE,FALSE,1
"2025_03_PIT_NE",3,"NE","PIT",66,5,"Cloudy Temp: 66° F, Humidity: 54%, Wind: W 5 mph",TRUE,FALSE,FALSE,FALSE,FALSE,0
"2025_04_BAL_KC",4,"KC","BAL",89,10,"Temp: 89° F, Humidity: 38%, Wind: SW 10 mph",TRUE,FALSE,FALSE,TRUE,FALSE,1
"2025_04_CAR_NE",4,"NE","CAR",76,7,"Sunny Temp: 76° F, Humidity: 70%, Wind: NE 7 mph",TRUE,FALSE,FALSE,FALSE,FALSE,0
"2025_04_CHI_LV",4,"LV","CHI",NA,NA,"Partly Cloudy Temp: 77° F, Humidity: 54%, Wind: E 5 mph",TRUE,FALSE,FALSE,FALSE,FALSE,0
"2025_04_CIN_DEN",4,"DEN","CIN",66,12,"Partly Cloudy Temp: 65° F, Humidity: 54%, Wind: S 9 mph",TRUE,FALSE,FALSE,FALSE,FALSE,0
"2025_04_CLE_DET",4,"DET","CLE",NA,NA,"Controlled Climate Temp: 68° F, Humidity: 70%, Wind: mph",TRUE,FALSE,FALSE,FALSE,FALSE,0
"2025_04_GB_DAL",4,"DAL","GB",NA,NA,"Partly Cloudy Temp: 81° F, Humidity: 42%, Wind: NE 2 mph",TRUE,FALSE,FALSE,FALSE,FALSE,0
"2025_04_IND_LA",4,"LA","IND",NA,NA,"Cloudy Temp: 74° F, Humidity: 68%, Wind: SW 3 mph",TRUE,FALSE,FALSE,FALSE,FALSE,0
"2025_04_JAX_SF",4,"SF","JAX",72,7,"Cloudy Temp: 72° F, Humidity: 72%, Wind: N 7 mph",TRUE,FALSE,FALSE,FALSE,FALSE,0
"2025_04_LAC_NYG",4,"NYG","LAC",81,4,"Fair Temp: 81° F, Humidity: 53%, Wind: W mph",TRUE,FALSE,FALSE,FALSE,FALSE,0
"2025_04_MIN_PIT",4,"PIT","MIN",61,5,"Mostly Cloudy Temp: 61° F, Humidity: 70%, Wind: W 5 mph",TRUE,FALSE,FALSE,FALSE,FALSE,0
"2025_04_NO_BUF",4,"BUF","NO",73,7,"Sunny Temp: 73° F, Humidity: 56%, Wind: NW 7 mph",TRUE,FALSE,FALSE,FALSE,FALSE,0
"2025_04_NYJ_MIA",4,"MIA","NYJ",88,17,"Partly Cloudy Temp: 86° F, Humidity: 63%, Wind: NW 1 mph",TRUE,FALSE,FALSE,TRUE,TRUE,2
"2025_04_PHI_TB",4,"TB","PHI",88,6,"Cloudy Temp: 88° F, Humidity: 61%, Wind: N 6 mph",TRUE,FALSE,FALSE,TRUE,FALSE,1
"2025_04_SEA_ARI",4,"ARI","SEA",NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,0
"2025_04_TEN_HOU",4,"HOU","TEN",NA,NA,"Sunny Temp: 83° F, Humidity: 50%, Wind: NE 3 mph",TRUE,FALSE,FALSE,FALSE,FALSE,0
"2025_04_WAS_ATL",4,"ATL","WAS",NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,0
"2025_05_DAL_NYJ",5,"NYJ","DAL",82,3,"Sunny and Warm Temp: 82° F, Humidity: 46%, Wind: S 3 mph",TRUE,FALSE,FALSE,FALSE,FALSE,0
"2025_05_DEN_PHI",5,"PHI","DEN",80,6,"Sunny Temp: 80° F, Humidity: 43%, Wind: SW 6 mph",TRUE,FALSE,FALSE,FALSE,FALSE,0
"2025_05_DET_CIN",5,"CIN","DET",84,7,"Mostly Sunny Temp: 84° F, Humidity: 39%, Wind: SW 7 mph",TRUE,FALSE,FALSE,FALSE,FALSE,0
"2025_05_HOU_BAL",5,"BAL","HOU",78,2,"Temp: 78° F, Humidity: 45%, Wind: S 2 mph",TRUE,FALSE,FALSE,FALSE,FALSE,0
"2025_05_KC_JAX",5,"JAX","KC",80,12,"Temp: 80° F, Humidity: 79%, Wind: E 12 mph",TRUE,FALSE,FALSE,FALSE,FALSE,0
"2025_05_LV_IND",5,"IND","LV",NA,NA,"Sunny Temp: 76° F, Humidity: 52%, Wind: SW 2 mph",TRUE,FALSE,FALSE,FALSE,FALSE,0
"2025_05_MIA_CAR",5,"CAR","MIA",77,8,"Mostly Cloudy Temp: 77° F, Humidity: 57%, Wind: E 8 mph",TRUE,FALSE,FALSE,FALSE,FALSE,0
"2025_05_MIN_CLE",5,"CLE","MIN",61,14,"Cloudy Temp: 61° F, Humidity: 48%, Wind: NW 14 mph",TRUE,FALSE,FALSE,FALSE,FALSE,0
"2025_05_NE_BUF",5,"BUF","NE",66,3,"Clear Temp: 66° F, Humidity: 58%, Wind: S 3 mph",TRUE,FALSE,FALSE,FALSE,FALSE,0
"2025_05_NYG_NO",5,"NO","NYG",NA,NA,"Rain Temp: 75° F, Humidity: 95%, Wind: NE 9 mph",TRUE,FALSE,FALSE,FALSE,FALSE,0
"2025_05_SF_LA",5,"LA","SF",NA,NA,"Cloudy Temp: 71° F, Humidity: 65%, Wind: S 5 mph",TRUE,FALSE,FALSE,FALSE,FALSE,0
"2025_05_TB_SEA",5,"SEA","TB",61,8,"Sunny Temp: 61° F, Humidity: 73%, Wind: N 8 mph",TRUE,FALSE,FALSE,FALSE,FALSE,0
"2025_05_TEN_ARI",5,"ARI","TEN",NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,0
"2025_05_WAS_LAC",5,"LAC","WAS",NA,NA,"Sunny Temp: 77° F, Humidity: 56%, Wind: SW 7 mph",TRUE,FALSE,FALSE,FALSE,FALSE,0
"2025_06_ARI_IND",6,"IND","ARI",NA,NA,"Sunny Temp: 57° F, Humidity: 48%, Wind: NE 2 mph",TRUE,FALSE,FALSE,FALSE,FALSE,0
"2025_06_BUF_ATL",6,"ATL","BUF",NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,0
"2025_06_CHI_WAS",6,"WAS","CHI",59,12,"Temp: 59° F, Humidity: 82%, Wind: N 12 mph",TRUE,FALSE,FALSE,FALSE,FALSE,0
"2025_06_CIN_GB",6,"GB","CIN",64,14,"Sunny Temp: 64° F, Humidity: 56%, Wind: SE 14 mph",TRUE,FALSE,FALSE,FALSE,FALSE,0
"2025_06_CLE_PIT",6,"PIT","CLE",64,8,"Cloudy Temp: 64° F, Humidity: 77%, Wind: E 8 mph",TRUE,FALSE,FALSE,FALSE,FALSE,0
"2025_06_DAL_CAR",6,"CAR","DAL",68,15,"Cloudy Temp: 68° F, Humidity: 71%, Wind: N 15 mph",TRUE,FALSE,FALSE,FALSE,FALSE,0
"2025_06_DEN_NYJ",6,"NYJ","DEN",59,6,"Mostly Sunny Temp: 59° F, Humidity: 69%, Wind: NE 6 mph",TRUE,FALSE,FALSE,FALSE,FALSE,0
"2025_06_DET_KC",6,"KC","DET",85,13,"Temp: 85° F, Humidity: 37%, Wind: S 13 mph",TRUE,FALSE,FALSE,FALSE,FALSE,0
"2025_06_LAC_MIA",6,"MIA","LAC",85,4,"Partly Cloudy Temp: 85° F, Humidity: 62%, Wind: N 4 mph",TRUE,FALSE,FALSE,FALSE,FALSE,0
"2025_06_LA_BAL",6,"BAL","LA",64,15,"Cloudy Temp: 64° F, Humidity: 66%, Wind: NE 15 mph",TRUE,FALSE,FALSE,FALSE,FALSE,0
"2025_06_NE_NO",6,"NO","NE",NA,NA,"Sunny Temp: 79° F, Humidity: 41%, Wind: S 8 mph",TRUE,FALSE,FALSE,FALSE,FALSE,0
"2025_06_PHI_NYG",6,"NYG","PHI",53,3,"Fair Temp: 53° F, Humidity: 31%, Wind: N 3 mph",TRUE,FALSE,FALSE,FALSE,FALSE,0
"2025_06_SEA_JAX",6,"JAX","SEA",76,8,"Temp: 76° F, Humidity: 59%, Wind: NW 8 mph",TRUE,FALSE,FALSE,FALSE,FALSE,0
"2025_06_SF_TB",6,"TB","SF",82,10,"Clear Temp: 82° F, Humidity: 49%, Wind: NW 10 mph",TRUE,FALSE,FALSE,FALSE,FALSE,0
"2025_06_TEN_LV",6,"LV","TEN",NA,NA,"Sunny Temp: 74° F, Humidity: 13%, Wind: N 6 mph",TRUE,FALSE,FALSE,FALSE,FALSE,0
"2025_07_PIT_CIN",7,"CIN","PIT",60,5,"Clear and Cool Temp: 60° F, Humidity: 51%, Wind: E 5 mph",TRUE,FALSE,FALSE,FALSE,FALSE,0
